Ref,Name,Category,Address,Days,Hours,Number of Reviews,Rating,Excellent,Very Good,Average,Poor,Terrible,Certified
/Attraction_Review-g2342964-d10068287-Reviews-Araripe_Plateau-Crato_State_of_Ceara.html,Chapada do Araripe,Natureza e parques,"Crato, Ceará, Brasil",N/A,N/A,31,"5,0",85%,12%,3%,0%,0%,False
/Attraction_Review-g2342964-d4550304-Reviews-Geopark_Araripe-Crato_State_of_Ceara.html,Geoparque Araripe,Natureza e parques,"Carolino Sucupira, s/n - Pimenta, Crato, Ceará, Brasil",N/A,N/A,82,"4,5",66%,26%,7%,1%,0%,False
/Attraction_Review-g2342964-d4600991-Reviews-Praca_da_Se-Crato_State_of_Ceara.html,Praça da Sé,Pontos turísticos e de interesse,"Rua Dr. João Pessoa, Crato, Ceará 63100-971, Brasil",N/A,N/A,134,"4,0",36%,48%,15%,1%,0%,False
/Attraction_Review-g2342964-d4376259-Reviews-Museu_Historico_do_Crato-Crato_State_of_Ceara.html,Museu Histórico do Crato,Museus,"Rua Senador Pompeu 502, Crato, Ceará 63100-080, Brasil",N/A,N/A,30,"4,0",48%,33%,16%,3%,0%,False
/Attraction_Review-g2342964-d15075963-Reviews-Centro_de_Eventos_Do_Cariri-Crato_State_of_Ceara.html,Centro de Eventos Do Cariri,Recursos para viajantes,"Av. Padre Cícero, 4400 | Muriti, Crato, Ceará 63133-830, Brasil",N/A,N/A,2,"5,0",100%,0%,0%,0%,0%,False
/Attraction_Review-g2342964-d4376252-Reviews-Fosseis_DNPM_Museum-Crato_State_of_Ceara.html,Museu Fósseis DNPM,Museus,"Praca da SE 105, Crato, Ceará 63100-440, Brasil",N/A,N/A,25,"4,5",40%,48%,12%,0%,0%,False
/Attraction_Review-g2342964-d4376253-Reviews-Museu_de_Historia_Natural_da_Universidade_Regional_do_Cariri_URCA-Crato_State_of.html,Museu de História Natural da Universidade Regional do Cariri - URCA,Museus,"Rua Coronel Antônio Luiz 1161, Crato, Ceará 63105-000, Brasil",N/A,N/A,27,"4,0",37%,53%,7%,3%,0%,False
/Attraction_Review-g2342964-d10063989-Reviews-Museu_Benedito_Jose_Teles-Crato_State_of_Ceara.html,Museu Benedito José Teles,Museus,"Distrito de Santa Fé, Crato, Ceará, Brasil",N/A,N/A,4,"4,5",50%,50%,0%,0%,0%,False
/Attraction_Review-g2342964-d4126941-Reviews-Rachel_de_Queiroz_Theater-Crato_State_of_Ceara.html,Teatro Rachel de Queiroz,Concertos e shows,"Rua Dom Quintino 913, Crato, Ceará 63100-070, Brasil",N/A,N/A,16,"4,0",25%,44%,31%,0%,0%,False
/Attraction_Review-g2342964-d4376256-Reviews-Vicente_Leite_Art_Museum-Crato_State_of_Ceara.html,Museu de Arte Vicente Leite,Museus,"Praca da SE 64, Crato, Ceará 63100-440, Brasil",N/A,N/A,8,"4,0",12%,63%,25%,0%,0%,False
/Attraction_Review-g2342964-d17561183-Reviews-Jose_Rodrigo_Marques_da_Hora_Ze_da_Hora-Crato_State_of_Ceara.html,José Rodrigo Marques da Hora (Zé da Hora),Excursões,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
